chapter,code,title,classKind,parent_code,uri,definition
02,2B69,Tumeurs malignes de l'amygdale,category,,http://id.who.int/icd/release/11/2024-01/mms/2044833589,
02,2B69.0,Carcinome épidermoïde de la tonsille,category,2B69,http://id.who.int/icd/release/11/2024-01/mms/342470657,
02,2B69.1,Autres tumeurs malignes précisées de l'amygdale,category,2B69,http://id.who.int/icd/release/11/2024-01/mms/603623807,
02,2B69.Z,"Tumeurs malignes de l'amygdale, sans précision",category,2B69,http://id.who.int/icd/release/11/2024-01/mms/2044833589/unspecified,
02,2B6A,Tumeurs malignes de l'oropharynx,category,,http://id.who.int/icd/release/11/2024-01/mms/1172876400,Tumeurs malignes de la cavité buccale et du pharynx.
02,2B6A.0,Carcinome épidermoïde de l'oropharynx,category,2B6A,http://id.who.int/icd/release/11/2024-01/mms/839740136,"Carcinome épidermoïde survenant au niveau de l'oropharynx. Il affecte principalement les adultes autour de la cinquantaine et de la soixantaine, et est associé à la consommation d'alcool et de tabac. Le papillomavirus humain est présent dans la moitié des cas environ. Il a pour caractéristique de favoriser la formation de métastases précoces dans les ganglions lymphatiques. Lorsque la tumeur est de petite taille, les patients sont souvent asymptomatiques. L'examen clinique peut mettre en évidence des lésions ou des plaques érythémateuses ou blanches. Les patients présentent pour la plupart une maladie à un stade localement avancé. Les signes et symptômes sont notamment les suivants : ulcération de la muqueuse, douleur, saignement, perte de poids, gonflement du cou et difficultés à parler, à mâcher et à avaler. Les patients peuvent également présenter un gonflement des ganglions lymphatiques du cou sans avoir de symptômes liés à la tumeur oropharyngée. Les facteurs pronostiques les plus déterminants sont la taille de la tumeur et l'état des ganglions lymphatiques."
02,2B6A.Y,Autres tumeurs malignes de l'oropharynx,category,2B6A,http://id.who.int/icd/release/11/2024-01/mms/1172876400/other,
02,2B6A.Z,"Tumeurs malignes de l'oropharynx, sans précision",category,2B6A,http://id.who.int/icd/release/11/2024-01/mms/1172876400/unspecified,
02,2B6B,Tumeurs malignes du nasopharynx,category,,http://id.who.int/icd/release/11/2024-01/mms/547578362,"De nombreuses tumeurs peuvent apparaître dans le nasopharynx, mais c'est le carcinome nasopharyngé qui intéresse depuis des générations les oncologues, les pathologistes, les scientifiques et les épidémiologistes. On observe des différences géographiques marquées, avec des taux d'incidence maximaux dans le Sud de la Chine. Dans certaines zones endémiques, l'incidence a diminué d'environ 30 % au cours des deux dernières décennies, ce qui donne à penser que certains facteurs liés à l'environnement ou au mode de vie peuvent jouer un rôle important et que la maladie est, dans une certaine mesure, évitable. Le carcinome nasopharyngé est fortement associé à l'infection par le virus d’Epstein-Barr (EBV), indépendamment de l'origine ethnique des patients. Cette association a créé un nouveau paradigme d'utilisation des tests sérologiques viraux pour le diagnostic du cancer et pour son dépistage au sein des populations à haut risque. Le carcinome nasopharyngé répond généralement bien à la radiothérapie, et le résultat clinique s'est nettement amélioré au fil des ans, en particulier grâce à l'affinement de la stadification et à l'amélioration des protocoles thérapeutiques. Les particularités histologiques du carcinome nasopharyngé, inhabituelles et souvent trompeuses, ont donné lieu à des controverses quant à la nature de la tumeur et posent toujours des difficultés aux pathologistes. Le nombre de noms créés pour désigner les différents soustypes histologiques du carcinome nasopharyngé est probablement le plus élevé parmi tous les types de tumeurs."
02,2B6B.0,Carcinome épidermoïde du nasopharynx,category,2B6B,http://id.who.int/icd/release/11/2024-01/mms/294167983,
